panel,scheme,entities,value,unit,formula_id,evidence_class,status
bits,Dabra et al. [34],44,281864,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],44,46,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],44,137,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],44,361408,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,44,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,44,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,44,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],46,48,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],46,142,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],46,188672,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],46,48,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],46,143,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],46,294664,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],46,48,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],46,143,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],46,377824,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,46,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
fields,LCLA-AKA,46,7,fields,F5-LCLA-fields,lcla_derived,paper_reported_reference_reinterpreted_fields
bits,LCLA-AKA,46,3147008,bits,F5-LCLA-bits,lcla_derived,reconstructed
rounds,Feng et al. [23],48,50,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Feng et al. [23],48,148,fields,F5-Feng-fields,paper_reported_reference,paper_reported_reference
bits,Feng et al. [23],48,196864,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Dabra et al. [34],48,50,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Dabra et al. [34],48,149,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Dabra et al. [34],48,307464,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,Ding et al. [35],48,50,rounds,F5-other-rounds,paper_reported_reference,reconstructed
fields,Ding et al. [35],48,149,fields,F5-Dabra-Ding-fields,paper_reported_reference,paper_reported_reference
bits,Ding et al. [35],48,394240,bits,F5-other-bits,paper_reported_reference,reconstructed_partial
rounds,LCLA-AKA,48,3,rounds,F5-LCLA-rounds,lcla_derived,paper_reported_reference
